Date,Emergencies,Per Cap Emergencies,income0,income1,income2,income3,income4,income5,Precipitation,Snow,Tmax,Tmin,Awnd,Avg Precipitation,Avg Snow,Avg Tmax,Avg Tmin,Avg Awnd,Yester Precipitation,Yester Snow,Yester Tmax,Yester Tmin,Yester Awnd,Avg Low,Avg High
20131107,0,0.0,0,0,0,0,0,1,0.22,0,68,43,13.87,0.03571428571428571,0.0,48.285714285714285,33.142857142857146,8.021428571428572,0,0,61,42,10.74,41,55
20131108,3,4.539882871021928e-05,1,0,0,0,0,0,0,0,50,38,13.42,0.03571428571428571,0.0,46.0,31.428571428571427,9.267142857142858,0.22,0,68,43,13.87,40,54
20131108,2,1.60333493666827e-05,0,1,0,0,0,0,0,0,50,38,13.42,0.03571428571428571,0.0,46.0,31.428571428571427,9.267142857142858,0.22,0,68,43,13.87,40,54
20131108,4,5.268148772521336e-05,0,0,1,0,0,0,0,0,50,38,13.42,0.03571428571428571,0.0,46.0,31.428571428571427,9.267142857142858,0.22,0,68,43,13.87,40,54
20131108,5,4.1194305299235436e-05,0,0,0,1,0,0,0,0,50,38,13.42,0.03571428571428571,0.0,46.0,31.428571428571427,9.267142857142858,0.22,0,68,43,13.87,40,54
20131108,2,1.2532349126181957e-05,0,0,0,0,1,0,0,0,50,38,13.42,0.03571428571428571,0.0,46.0,31.428571428571427,9.267142857142858,0.22,0,68,43,13.87,40,54
20131108,3,1.895986197220484e-05,0,0,0,0,0,1,0,0,50,38,13.42,0.03571428571428571,0.0,46.0,31.428571428571427,9.267142857142858,0.22,0,68,43,13.87,40,54
20131109,3,4.539882871021928e-05,1,0,0,0,0,0,0,0,47,35,11.63,0.03142857142857143,0.0,45.142857142857146,31.571428571428573,9.394285714285715,0,0,50,38,13.42,40,54
20131109,2,1.60333493666827e-05,0,1,0,0,0,0,0,0,47,35,11.63,0.03142857142857143,0.0,45.142857142857146,31.571428571428573,9.394285714285715,0,0,50,38,13.42,40,54
20131109,7,9.219260351912338e-05,0,0,1,0,0,0,0,0,47,35,11.63,0.03142857142857143,0.0,45.142857142857146,31.571428571428573,9.394285714285715,0,0,50,38,13.42,40,54
20131109,1,8.238861059847087e-06,0,0,0,1,0,0,0,0,47,35,11.63,0.03142857142857143,0.0,45.142857142857146,31.571428571428573,9.394285714285715,0,0,50,38,13.42,40,54
20131109,3,1.8798523689272935e-05,0,0,0,0,1,0,0,0,47,35,11.63,0.03142857142857143,0.0,45.142857142857146,31.571428571428573,9.394285714285715,0,0,50,38,13.42,40,54
20131109,4,2.527981596293979e-05,0,0,0,0,0,1,0,0,47,35,11.63,0.03142857142857143,0.0,45.142857142857146,31.571428571428573,9.394285714285715,0,0,50,38,13.42,40,54
20131110,3,4.539882871021928e-05,1,0,0,0,0,0,0.03,0,58,42,11.41,0.03571428571428571,0.0,47.42857142857143,33.142857142857146,9.778571428571428,0,0,47,35,11.63,40,54
20131110,2,1.60333493666827e-05,0,1,0,0,0,0,0.03,0,58,42,11.41,0.03571428571428571,0.0,47.42857142857143,33.142857142857146,9.778571428571428,0,0,47,35,11.63,40,54
20131110,3,3.951111579391002e-05,0,0,1,0,0,0,0.03,0,58,42,11.41,0.03571428571428571,0.0,47.42857142857143,33.142857142857146,9.778571428571428,0,0,47,35,11.63,40,54
20131110,0,0.0,0,0,0,1,0,0,0.03,0,58,42,11.41,0.03571428571428571,0.0,47.42857142857143,33.142857142857146,9.778571428571428,0,0,47,35,11.63,40,54
20131110,1,6.2661745630909785e-06,0,0,0,0,1,0,0.03,0,58,42,11.41,0.03571428571428571,0.0,47.42857142857143,33.142857142857146,9.778571428571428,0,0,47,35,11.63,40,54
20131110,4,2.527981596293979e-05,0,0,0,0,0,1,0.03,0,58,42,11.41,0.03571428571428571,0.0,47.42857142857143,33.142857142857146,9.778571428571428,0,0,47,35,11.63,40,54
20131111,1,1.5132942903406426e-05,1,0,0,0,0,0,0,0,53,41,12.75,0.03571428571428571,0.0,48.142857142857146,34.42857142857143,10.545714285714284,0.03,0,58,42,11.41,39,53
20131111,5,4.008337341670675e-05,0,1,0,0,0,0,0,0,53,41,12.75,0.03571428571428571,0.0,48.142857142857146,34.42857142857143,10.545714285714284,0.03,0,58,42,11.41,39,53
20131111,2,2.634074386260668e-05,0,0,1,0,0,0,0,0,53,41,12.75,0.03571428571428571,0.0,48.142857142857146,34.42857142857143,10.545714285714284,0.03,0,58,42,11.41,39,53
20131111,3,2.471658317954126e-05,0,0,0,1,0,0,0,0,53,41,12.75,0.03571428571428571,0.0,48.142857142857146,34.42857142857143,10.545714285714284,0.03,0,58,42,11.41,39,53
20131111,0,0.0,0,0,0,0,1,0,0,0,53,41,12.75,0.03571428571428571,0.0,48.142857142857146,34.42857142857143,10.545714285714284,0.03,0,58,42,11.41,39,53
20131111,5,3.159976995367474e-05,0,0,0,0,0,1,0,0,53,41,12.75,0.03571428571428571,0.0,48.142857142857146,34.42857142857143,10.545714285714284,0.03,0,58,42,11.41,39,53
20131112,0,0.0,1,0,0,0,0,0,0.08,0,50,29,13.65,0.047142857142857146,0.0,46.57142857142857,32.57142857142857,10.961428571428572,0,0,53,41,12.75,39,53
20131112,3,2.405002405002405e-05,0,1,0,0,0,0,0.08,0,50,29,13.65,0.047142857142857146,0.0,46.57142857142857,32.57142857142857,10.961428571428572,0,0,53,41,12.75,39,53
20131112,1,1.317037193130334e-05,0,0,1,0,0,0,0.08,0,50,29,13.65,0.047142857142857146,0.0,46.57142857142857,32.57142857142857,10.961428571428572,0,0,53,41,12.75,39,53
20131112,0,0.0,0,0,0,1,0,0,0.08,0,50,29,13.65,0.047142857142857146,0.0,46.57142857142857,32.57142857142857,10.961428571428572,0,0,53,41,12.75,39,53
